Book,Title,Goodreads,Sentiment,Status
378,A March on London Being a Story of Wat Tyler's Insurrection,0,0.356663,Neither
379,Stephen A Soldier of the Cross,92,-0.055754,Neither
380,"Steve Young; or, The Voyage of the ""Hvalross"" to the Icy Seas",2,0.093697,Neither
381,Stolen Souls,2,-0.029964,Neither
382,Swallow A Tale of the Great Trek,65,-0.028862,Neither
383,Sweet Content,0,0.320294,Neither
384,Syd Belton The Boy Who Would Not Go to Sea,1,0.033069,Neither
385,Sylvie and Bruno,279,0.18255,Neither
386,Tales From the Telling House,0,0.255556,Neither
387,Tales from the Veld,3,-0.024278,Neither
388,Tales of Mean Streets,63,0.007865,Neither
389,A Marriage at Sea,4,0.332978,Neither
390,Tales of South Africa,0,0.136116,Neither
391,Tales of Trail and Town,12,0.15154,Neither
392,Taquisara ,2,0.16939,Neither
393,Terry Or She ought to have been a Boy,0,0.124527,Neither
394,Tess of the d'Urbervilles A Pure Woman,231991,0.200949,Both canonical and bestsellers
395,That Affair Next Door,0,0.113766,Neither
396,That Little Beggar,0,0.144354,Neither
397,That Mainwaring Affair,54,0.346777,Neither
398,That Scholarship Boy,3,0.217867,Neither
399,That Stick,2,0.256718,Neither
400,A Master Of Craft,0,0.134085,Neither
401,The Admiral A Romance of Nelson in the Year of the Nile,0,0.45949,Neither
402,The Adventure of Princess Sylvia,1,0.388589,Neither
403,The Adventures of Captain Horn ,55,0.211636,Neither
404,The Adventures of Don Lavington,0,-0.073597,Neither
405,The Adventures of François Foundling Thief Juggler and Fencing Master during the French Revolution  ,0,0.026909,Neither
406,The Amateur Cracksman  ,2089,0.066182,Neither
407,The Amazing Marriage,11,0.18204,Neither
408,The Angel of the Revolution A Tale of the Coming Terror,0,0.019952,Neither
409,The Arbiter A Novel  ,1,0.281834,Neither
410,The Autobiography of a Quack and The Case of George Dedlow,0,0.097794,Neither
411,A Master of Fortune Being Further Adventures of Captain Kettle,4,0.084545,Neither
412,The Awkward Age,925,0.416651,Canonical novels
413,The Battle of the Strong A Romance of Two Kingdoms,0,0.049587,Neither
414,The Beautiful White Devil,13,0.266648,Neither
415,The Beetle A Mystery,2275,-0.013354,Canonical novels
416,The Bell Ringer of Angel's,5,0.117897,Neither
417,The Benefactress,244,0.190784,Neither
418,The Beth Book Being a Study of the Life of Elizabeth Caldwell Maclure a Woman of Genius  ,94,0.245817,Neither
419,The Betrayal of John Fordham,0,0.042237,Neither
420,The Big Bow Mystery,577,-0.072916,Neither
421,The Birthright ,4,0.0474,Neither
422,A Master of Mysteries,0,-0.019822,Neither
423,The Bishop's Secret,69,0.081718,Neither
424,The Black Bar,3,-0.010269,Neither
425,The Black Douglas,51,0.099337,Neither
426,The Black Tor A Tale of the Reign of James the First,1,-0.129765,Neither
427,The Black Wolf's Breed A Story of France in the Old World and the New happening in the Reign of Louis XIV,2,0.088906,Neither
428,The Blue Pavilions,0,0.095094,Neither
429,The Bond of Black,0,0.055807,Neither
430,The Boss of Taroomba  ,0,0.100598,Neither
431,The Bountiful Lady Or How Mary was changed from a very Miserable Little Girl to a very Happy One,5,0.225823,Neither
432,The Brass Bottle ,80,0.3478,Neither
433,A Millionaire of Yesterday,12,0.056829,Neither
434,The British Barbarians,30,0.124501,Neither
435,The Broom Squire,14,0.05409,Neither
436,"The Buffalo Runners, A tale of the Red River Plains",8,0.174846,Neither
437,The Bushranger's Secret,0,-0.008692,Neither
438,The Californians,21,0.240795,Neither
439,The Capsina An Historical Novel,0,0.039656,Neither
440,The Carbonels,6,0.17646,Neither
441,The Cardinal s Snuff Box,17,0.23777,Neither
442,The Career of Claudia,1,0.211989,Neither
443,The Carved Cupboard,29,0.228255,Neither
444,A Bicycle of Cathay,10,0.404215,Neither
445,A Modern Buccaneer,1,0.255566,Neither
446,The Carved Lions,0,0.271026,Neither
447,The Castle Inn,27,-0.057235,Neither
448,The Changeling,8,0.252319,Neither
449,The Chase of the Ruby,13,0.078971,Neither
450,The Chevalier d Auriac,0,-0.012624,Neither
451,The Children of the King,4,0.319214,Neither
452,The Christian A Story,20,0.161452,Bestsellers
453,The Chronicles of Count Antonio,9,-0.039608,Neither
454,The Cock House at Fellsgarth,7,0.165704,Neither
455,The Courtship of Morrice Buckler A Romance,11,-0.008026,Neither
456,A Modern Mercenary,1,0.053846,Neither
457,The Coxswain s Bride,4,0.207221,Neither
458,The Crack of Doom,17,-0.018849,Neither
459,The Crime and the Criminal,24,0.082048,Neither
460,The Crisis ,716,0.109071,Neither
461,The Crooked Stick Or Pollie s Probation,2,0.273062,Neither
462,The Crown of Life,22,0.295948,Neither
463,The Cruise of the Cachalot Round the World After Sperm Whales,0,0.178492,Neither
464,The Cruise of the Esmeralda,0,0.54597,Neither
465,The Crystal Hunters A Boy s Adventures in the Higher Alps,5,0.10088,Neither
466,The Dash for Khartoum A Tale of the Nile Expedition,0,0.169803,Neither
467,A Monk of Cruta,22,-0.08411,Neither
468,The Datchet Diamonds,42,0.136553,Neither
469,The Daughter of the Chieftain the Story of an Indian Girl,28,0.045462,Neither
470,The Daughters of Danaus,43,0.128511,Neither
471,The Day of Temptation,2,0.090701,Neither
472,The Diary of a Nobody,12574,0.217269,Canonical novels
473,The Dictator,2,0.316417,Neither
474,The Dingo Boys The Squatters of Wallaby Range,2,-0.086111,Neither
475,The Doctor his Wife and the Clock,0,-0.209555,Neither
476,The Doings of Raffles Haw,173,0.289815,Neither
477,The Doomswoman An Historical Romance of Old California,9,0.168139,Neither
